Score,Frente,Verso,Tema,Tempo
0,Sintomático respiratório,"Pessoa que, durante a estratégia programática de busca ativa, apresenta tosse por 3 semanas ou mais",Tuberculose,1617543192.903261
0,Principais formas de apresentação da TB,"Primária, pós-primária e miliar",Tuberculose,1617543194.641403
0,Características do líquido pleural na TB pleural,"Características de exsudato, predomínio de linfócitos e baixo rendimento tanto da pesquisa de BAAR (<5%) quanto da cultura (<15%)",Tuberculose,1617543201.65447
0,Até quantos dias pode ser colhido o teste do pezinho?,30,Neonatologia,1617543201.553375
0,TB mais comum em PVHIV e crianças,TB ganglionar periférica,Tuberculose,1617543201.452256
0,Exame radiológico quando há suspeita de lesão uretral em politraumatizado,Uretrocistografia retrógrada,Urologia,1617543201.3506632
0,Julgue: todo politraumatizado deve ser submetido a um toque retal antes de proceder com a cateterização vesical.,VERDADEIRO,Urologia,1617543201.2495446
0,Agente etiológico da Leucoencefalopatia Multifocal Progressiva (LEMP),Vírus JC,HIV,1617543201.147662
0,Suspeita em paciente com HIV + dispneia progressiva insidiosa (20 dias) + tosse seca + febre baixa,Pneumocistose,HIV,1617543201.045424
0,80% dos casos de pneumocistose ocorre com CD4 menor que ….,200,HIV,1617543200.944088
0,Radiografia na pneumocistose,"Infiltrado intersticial bilateral difuso, peri-hilar e simétrico. Não há presença de derrame pleural e nem linfadenomegalias.",HIV,1617543200.842336
0,Tto pneumocistose,SMX-TMP 21 dias IV ou VO,HIV,1617543200.740441
0,Pacientes que já tiveram Pneumocistose Pulmonar no passado devem fazer quimioprofilaxia até ... ,Contagem de CD4 ficar acima de 200 e se manter assim por pelo menos 3 meses,HIV,1617543200.64007
0,Medicamentos PrEP,Tenofovir e entricitabina,HIV,1617543200.538254
0,Cirurgia à Hartmann,Sigmoidectomia + colostomia terminal,Abdome Agudo,1617543200.43768
